country_code,country_name
ABW,Aruba
ASM,American Samoa
BMU,Bermuda
CEB,Central Europe and the Baltics
CHI,Channel Islands
CSS,Caribbean small states
CUW,Curacao
CYM,Cayman Islands
EAP,East Asia & Pacific (excluding high income)
EAR,Early-demographic dividend
EAS,East Asia & Pacific
ECA,Europe & Central Asia (excluding high income)
ECS,Europe & Central Asia
EMU,Euro area
EUU,European Union
FCS,Fragile and conflict affected situations
FRO,Faroe Islands
GIB,Gibraltar
GRL,Greenland
GUM,Guam
HIC,High income
HPC,Heavily indebted poor countries (HIPC)
IBD,IBRD only
IBT,IDA & IBRD total
IDA,IDA total
IDB,IDA blend
IDX,IDA only
IMN,Isle of Man
LAC,Latin America & Caribbean (excluding high income)
LCN,Latin America & Caribbean
LDC,Least developed countries: UN classification
LIC,Low income
LMC,Lower middle income
LMY,Low & middle income
LTE,Late-demographic dividend
MAC,"Macao SAR, China"
MEA,Middle East & North Africa
MIC,Middle income
MNA,Middle East & North Africa (excluding high income)
MNP,Northern Mariana Islands
NAC,North America
NCL,New Caledonia
OED,OECD members
OSS,Other small states
PRE,Pre-demographic dividend
PRI,Puerto Rico
PSS,Pacific island small states
PST,Post-demographic dividend
PYF,French Polynesia
SAS,South Asia
SSA,Sub-Saharan Africa (excluding high income)
SSF,Sub-Saharan Africa
SST,Small states
SXM,Sint Maarten (Dutch part)
TCA,Turks and Caicos Islands
TEA,East Asia & Pacific (IDA & IBRD countries)
TEC,Europe & Central Asia (IDA & IBRD countries)
TLA,Latin America & the Caribbean (IDA & IBRD countries)
TMN,Middle East & North Africa (IDA & IBRD countries)
TSA,South Asia (IDA & IBRD)
TSS,Sub-Saharan Africa (IDA & IBRD countries)
UMC,Upper middle income
VGB,British Virgin Islands
VIR,Virgin Islands (U.S.)
WLD,World
